B01001,Sex by Age,,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
(Male) Under 5 years,62,37,0,115,13,52,0,125,146,35,0,0,21,0
(Male) 5 to 9 years,86,89,47,44,41,0,59,57,55,19,0,23,24,131
(Male) 10 to 14 years,54,27,0,91,83,75,126,11,33,31,48,19,56,63
(Male) 15 to 17 years,26,0,115,79,162,8,12,0,6,15,17,0,15,50
(Male) 18 and 19 years,54,41,23,21,0,0,0,36,36,21,8,0,7,0
(Male) 20 years,14,34,0,40,0,5,0,0,11,0,0,0,0,0
(Male) 21 years,0,31,0,0,0,0,10,0,0,56,0,0,0,0
(Male) 22 to 24 years,32,15,72,29,0,39,42,76,51,41,110,0,0,0
(Male) 25 to 29 years,92,16,29,96,8,8,19,5,124,27,10,80,28,0
(Male) 30 to 34 years,80,293,48,20,0,43,198,104,27,76,0,23,7,0
(Male) 35 to 39 years,58,24,45,10,32,12,95,105,124,129,64,25,14,114
(Male) 40 to 44 years,38,73,24,57,181,34,142,103,46,155,0,21,40,41
(Male) 45 to 49 years,125,76,0,32,0,15,22,87,46,67,22,23,28,144
(Male) 50 to 54 years,141,128,32,127,15,141,122,21,58,5,33,37,0,156
(Male) 55 to 59 years,16,75,35,14,61,80,198,36,72,49,94,34,53,104
(Male) 60 and 61 years,59,46,55,59,27,49,62,97,38,33,33,0,48,17
(Male) 62 to 64 years,8,84,52,35,19,34,64,37,77,29,1,5,67,87
(Male) 65 and 66 years,20,0,0,55,113,79,42,37,37,8,39,40,0,19
(Male) 67 to 69 years,0,0,13,8,58,10,85,27,0,10,24,29,0,0
(Male) 70 to 74 years,19,63,32,15,161,46,39,16,76,18,39,0,24,43
(Male) 75 to 79 years,26,0,11,19,40,3,38,11,15,7,33,0,26,24
(Male) 80 to 84 years,11,0,0,6,11,0,23,0,30,6,8,0,7,15
(Male) 85 years and over,22,0,0,0,7,15,0,0,7,14,0,2,9,0
(Female) Under 5 years,65,14,14,119,23,43,19,43,31,10,66,43,56,24
(Female) 5 to 9 years,31,79,0,69,40,38,155,172,65,0,0,23,74,28
(Female) 10 to 14 years,124,164,13,74,0,129,76,0,64,64,55,27,60,27
(Female) 15 to 17 years,13,0,48,0,41,110,61,21,32,24,163,27,17,75
(Female) 18 and 19 years,15,13,38,0,17,20,0,9,12,8,64,0,0,22
(Female) 20 years,13,0,0,0,6,0,0,0,0,0,0,0,5,0
(Female) 21 years,37,0,0,20,20,0,0,0,0,0,0,2,0,0
(Female) 22 to 24 years,41,57,0,21,0,0,52,9,37,0,77,0,21,24
(Female) 25 to 29 years,0,88,65,182,0,47,120,96,41,32,24,57,87,144
(Female) 30 to 34 years,137,30,39,37,52,55,102,75,97,22,27,44,21,59
(Female) 35 to 39 years,57,40,80,109,29,41,269,71,90,6,87,84,10,19
(Female) 40 to 44 years,100,86,20,20,0,30,76,2,7,44,0,33,30,34
(Female) 45 to 49 years,55,95,26,32,48,34,10,29,57,49,92,66,25,92
(Female) 50 to 54 years,177,46,57,145,27,89,28,123,61,36,91,57,25,0
(Female) 55 to 59 years,77,96,41,41,72,14,117,47,32,96,132,48,21,136
(Female) 60 and 61 years,10,80,10,25,93,19,131,5,52,65,43,8,53,108
(Female) 62 to 64 years,7,42,71,70,17,30,43,27,83,54,0,65,54,89
(Female) 65 and 66 years,64,9,11,17,7,4,45,11,18,0,0,21,12,45
(Female) 67 to 69 years,0,16,24,7,28,37,12,20,71,46,25,16,40,18
(Female) 70 to 74 years,55,143,37,75,36,24,43,31,18,2,135,35,33,50
(Female) 75 to 79 years,68,16,23,36,53,7,53,39,4,0,78,0,36,0
(Female) 80 to 84 years,10,107,12,54,8,14,40,0,35,17,15,8,28,0
(Female) 85 years and over,0,20,22,7,46,33,35,0,100,11,70,0,6,0
