B08303,Travel Time to Work,,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
Less than 5 minutes,32,0,12,0,22,0,0,38,8,0,0,0,17,16
5 to 9 minutes,0,0,10,58,0,0,2,6,20,48,0,55,11,100
10 to 14 minutes,0,19,12,35,30,18,18,57,44,9,91,75,39,127
15 to 19 minutes,38,99,52,82,33,100,129,276,118,69,100,42,112,81
20 to 24 minutes,253,66,161,58,54,96,118,63,18,122,153,12,57,47
25 to 29 minutes,36,44,12,78,0,0,8,41,33,0,29,0,17,0
30 to 34 minutes,196,142,121,111,25,63,301,342,68,35,71,49,42,360
35 to 39 minutes,0,17,0,0,0,0,0,19,24,0,2,0,17,0
40 to 44 minutes,6,26,27,29,16,16,95,7,0,0,0,0,0,41
45 to 59 minutes,33,157,21,81,0,23,115,38,85,21,19,44,17,0
60 to 89 minutes,24,0,10,49,16,39,129,44,68,67,0,11,31,0
90 or more minutes,69,48,0,53,21,37,150,9,0,37,65,24,0,69
