B11016,Household Type by Household Size,,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
2-person Family,189,199,181,164,139,56,263,81,73,78,179,169,150,281
3-person Family,162,187,44,56,29,118,226,73,148,102,76,45,98,79
4-person Family,20,17,90,118,91,18,171,9,83,63,111,33,71,16
5-person Family,65,56,11,59,7,0,10,86,35,13,29,0,13,21
6-person Family,11,58,0,16,0,0,0,10,18,9,0,0,0,19
7-or-more person Family,0,0,0,0,19,40,0,0,10,0,0,0,0,0
1-person Nonfamily,529,320,145,370,291,456,706,331,390,180,296,129,94,338
2-person Nonfamily,68,32,38,115,17,47,26,41,65,150,86,20,22,110
3-person Nonfamily,0,6,0,18,0,0,0,119,0,0,0,24,0,19
4-person Nonfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,47
5-person Nonfamily,0,0,0,0,0,0,0,0,17,0,0,20,0,0
6-person Nonfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7-or-more person Nonfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0
