B15003,Educational Attainment for the Population 25 Years and Over,,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
No schooling completed,70,51,2,18,6,11,0,0,39,59,17,7,33,178
Nursery school,0,0,0,0,0,0,0,8,0,0,0,0,0,0
Kindergarten,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1st grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2nd grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3rd grade,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4th grade,5,0,13,0,0,0,0,0,46,0,0,0,0,0
5th grade,0,0,0,0,0,0,0,0,0,0,0,0,0,47
6th grade,6,0,0,0,12,0,14,21,25,0,0,0,0,41
7th grade,0,0,6,0,7,14,42,0,20,29,19,35,9,41
8th grade,0,28,3,12,0,0,0,0,77,0,16,7,0,41
9th grade,42,307,22,79,91,0,9,2,171,12,9,0,49,91
10th grade,80,127,11,88,15,55,172,6,93,40,22,16,141,21
11th grade,115,99,41,14,21,28,144,1,116,55,30,93,71,61
"12th grade, no diploma",47,95,29,25,34,75,30,13,67,49,33,48,21,14
Regular high school diploma,413,641,347,600,779,469,1048,237,326,305,368,312,276,670
GED or alternative credential,119,48,63,63,63,60,180,134,87,77,42,108,47,27
"Some college, less than 1 year",11,99,75,172,61,53,91,93,66,48,157,33,34,37
"Some college, 1 or more years, no degree",368,217,192,113,71,137,280,338,193,396,324,106,88,141
Associate's degree,124,51,45,63,39,61,133,49,0,16,63,60,17,102
Bachelor's degree,94,21,58,123,39,37,67,120,98,9,43,34,30,16
Master's degree,38,8,7,19,0,34,53,210,85,18,54,2,16,0
Professional school degree,0,0,0,0,11,11,10,7,34,0,22,0,0,30
Doctorate degree,0,0,0,21,0,2,0,23,0,0,0,0,0,0
