B19001,Household Income in the Past 12 Months (In 2022 Inflation-adjusted Dollars),,,,,,,,,,,,,
,"Census Tract 1501, Baltimore, MD","Census Tract 1502, Baltimore, MD","Census Tract 1503, Baltimore, MD","Census Tract 1602, Baltimore, MD","Census Tract 1603, Baltimore, MD","Census Tract 1604, Baltimore, MD","Census Tract 1605, Baltimore, MD","Census Tract 1902, Baltimore, MD","Census Tract 1903, Baltimore, MD","Census Tract 2001, Baltimore, MD","Census Tract 2002, Baltimore, MD","Census Tract 2003, Baltimore, MD","Census Tract 2004, Baltimore, MD","Census Tract 2005, Baltimore, MD"
"Less than $10,000",101,91,80,133,58,48,248,24,62,26,85,63,81,59
"$10,000 to $14,999",159,113,82,88,163,206,180,75,236,41,38,87,35,100
"$15,000 to $19,999",153,86,92,121,18,42,89,42,93,18,81,14,7,188
"$20,000 to $24,999",89,0,32,18,74,35,0,22,61,88,102,7,0,31
"$25,000 to $29,999",26,51,52,82,52,8,43,25,9,9,133,30,23,124
"$30,000 to $34,999",86,29,52,16,6,61,93,6,0,24,52,19,22,43
"$35,000 to $39,999",52,13,12,42,17,39,64,40,12,96,50,12,64,0
"$40,000 to $44,999",7,7,13,43,13,9,71,39,13,35,0,11,26,0
"$45,000 to $49,999",0,106,24,52,7,43,241,74,49,0,59,41,7,90
"$50,000 to $59,999",86,35,0,123,48,44,42,66,57,12,16,0,33,0
"$60,000 to $74,999",80,211,34,109,0,54,64,45,43,19,11,89,34,16
"$75,000 to $99,999",21,52,0,30,118,85,139,126,74,39,129,30,39,164
"$100,000 to $124,999",32,48,0,43,19,25,18,22,102,138,0,0,45,0
"$125,000 to $149,999",128,0,12,4,0,0,61,38,10,9,21,0,5,52
"$150,000 to $199,999",24,0,24,0,0,36,39,78,0,20,0,37,0,0
"$200,000 or more",0,33,0,12,0,0,10,28,18,21,0,0,27,63
